Index,Name,Band,PC,RA,DEC,Flux,Quality
2,J0006-063,U,A,00h06m13.892894s,-06d23m35.335300s,1.1,P
13,J0019+203,U,A,00h19m37.854504s,20d21m45.644610s,1.1,P
14,J0019+734,U,A,00h19m45.786427s,73d27m30.017450s,1.4,P
19,J0025-260,U,C,00h25m49.1683s,-26d02m12.695s,1.5,S
21,J0038+416,U,A,00h38m24.843610s,41d37m06.000570s,1.3,P
25,J0050-094,U,A,00h50m41.317390s,-09d29m05.210210s,1.7,P
30,J0102+584,U,A,01h02m45.762384s,58d24m11.136620s,2.3,P
32,J0106-405,U,B,01h06m45.107966s,-40d34m19.960360s,5.1,P
33,J0108+015,U,B,01h08m38.771074s,01d35m00.317140s,4.5,S
41,J0115-014,U,A,01h15m17.099972s,-01d27m04.577370s,1.7,P
42,J0116-116,U,A,01h16m12.521963s,-11d36m15.434050s,1.1,P
45,J0121+118,U,A,01h21m41.595043s,11d49m50.413130s,1.06,S
46,J0121+043,U,A,01h21m56.861699s,04d22m24.734360s,1.2,P
48,J0125-000,U,A,01h25m28.843788s,-00d05m55.931800s,1.5,P
51,J0136+478,U,A,01h36m58.594810s,47d51m29.100060s,1.6,P
53,J0137+331,U,B,01h37m41.299431s,33d09m35.132990s,1.78,P
54,J0141-094,U,A,01h41m25.832025s,-09d28m43.673810s,1.6,S
59,J0152+221,U,A,01h52m18.059047s,22d07m07.700040s,1.3,S
65,J0204+152,U,A,02h04m50.413904s,15d14m11.043460s,2.0,P
67,J0205+322,U,A,02h05m04.925371s,32d12m30.095600s,1.4,S
69,J0217+738,U,A,02h17m30.813363s,73d49m32.621760s,2.1,P
70,J0217+017,U,A,02h17m48.954740s,01d44m49.699090s,1.4,S
72,J0221+359,U,C,02h21m05.4733s,35d56m13.791s,1.1,S
74,J0224+069,U,A,02h24m28.428190s,06d59m23.341640s,1.4,S
75,J0226+343,U,A,02h26m10.333198s,34d21m30.286450s,1.1,P
76,J0228+673,U,A,02h28m50.051459s,67d21m03.029260s,2.3,P
77,J0231+133,U,A,02h31m45.894054s,13d22m54.716270s,2.5,S
78,J0237+288,U,A,02h37m52.405678s,28d48m08.990080s,2.5,P
79,J0238+166,U,A,02h38m38.930108s,16d36m59.274710s,3.3,P
80,J0239-025,U,A,02h39m45.472266s,-02d34m40.914300s,1.0,S
84,J0242+110,U,A,02h42m29.170847s,11d01m00.728230s,1.0,S
85,J0244+624,U,B,02h44m57.696827s,62d28m06.514590s,1.25,P
87,J0251+432,U,A,02h51m34.536779s,43d15m15.828580s,1.1,S
90,J0303+472,U,A,03h03m35.242226s,47d16m16.275460s,2.9,P
92,J0309+104,U,A,03h09m03.623523s,10d29m16.340820s,1.1,S
95,J0319+415,U,B,03h19m48.160102s,41d30m42.103050s,20.7,P
99,J0325+226,U,A,03h25m36.814375s,22d24m00.365180s,1.14,P
100,J0329-239,U,A,03h29m54.075537s,-23d57m08.773300s,1.0,S
102,J0334-401,U,B,03h34m13.654494s,-40d08m25.397980s,1.55,P
104,J0336+323,U,A,03h36m30.107599s,32d18m29.342390s,1.56,P
105,J0339-017,U,A,03h39m30.937787s,-01d46m35.803990s,2.35,S
106,J0340-213,U,A,03h40m35.607864s,-21d19m31.172230s,1.0,S
109,J0348-278,U,A,03h48m38.144561s,-27d49m13.565300s,2.2,P
115,J0359+509,U,B,03h59m29.747262s,50d57m50.161510s,3.5,S
116,J0359+323,U,A,03h59m44.912900s,32d20m47.155500s,1.1,P
119,J0403-360,U,B,04h03m53.749908s,-36d05m01.913200s,4.2,P
120,J0405-131,U,A,04h05m34.003401s,-13d08m13.691050s,1.9,S
122,J0406-384,U,A,04h06m59.035347s,-38d26m28.042060s,2.0,P
125,J0410+769,U,C,04h10m45.6057s,76d56m45.301s,1.46,P
127,J0416-188,U,A,04h16m36.544466s,-18d51m08.340120s,1.1,P
131,J0423-013,U,A,04h23m15.800727s,-01d20m33.065310s,4.3,P
134,J0424-379,U,A,04h24m42.243727s,-37d56m20.784230s,1.3,P
139,J0428-379,U,A,04h28m40.424306s,-37d56m19.580310s,1.3,P
140,J0431+206,U,B,04h31m03.7620s,20d37m34.250s,1.1,S
141,J0432+416,U,A,04h32m36.502609s,41d38m28.448550s,1.6,P
142,J0433+053,U,A,04h33m11.095535s,05d21m15.619420s,3.1,S
144,J0440-435,U,A,04h40m17.179992s,-43d33m08.604060s,2.0,S
146,J0442-002,U,A,04h42m38.660762s,-00d17m43.419100s,1.1,S
148,J0449+113,U,A,04h49m07.671119s,11d21m28.596620s,1.1,P
149,J0449+635,U,A,04h49m23.310586s,63d32m09.434490s,1.0,S
150,J0449-391,U,C,04h49m42.2594s,-39d11m09.056s,1.0,P
151,J0453-281,U,A,04h53m14.646807s,-28d07m37.327600s,1.1,P
152,J0457-234,U,A,04h57m03.179230s,-23d24m52.020050s,1.5,P
155,J0501-019,U,A,05h01m12.809888s,-01d59m14.256200s,3.1,P
159,J0503+020,U,A,05h03m21.197177s,02d03m04.676380s,1.1,P
164,J0510+180,U,A,05h10m02.369122s,18d00m41.581710s,1.0,P
166,J0513-219,U,A,05h13m49.114326s,-21d59m16.092020s,1.0,P
169,J0521+166,U,A,05h21m09.886021s,16d38m22.051220s,1.56,S
172,J0530+135,U,A,05h30m56.416744s,13d31m55.149550s,3.2,P
173,J0532+075,U,A,05h32m38.998531s,07d32m43.345860s,2.2,P
178,J0538-440,U,A,05h38m50.361551s,-44d05m08.939080s,4.5,P
182,J0541-056,U,A,05h41m38.083384s,-05d41m49.428390s,1.3,P
